sample_id	depth	size	range
1	-0.0	200	Epipelagic
2	-0.033	1	Epipelagic
3	-0.036	1	Epipelagic
4	-0.042	5	Epipelagic
5	-0.05	6	Epipelagic
6	-0.1	2	Epipelagic
7	-0.11	3	Epipelagic
8	-0.13	5	Epipelagic
9	-0.15	1	Epipelagic
10	-0.2	4	Epipelagic
11	-0.29	1	Epipelagic
12	-0.5	9	Epipelagic
13	-1.0	302	Epipelagic
14	-1.5	2	Epipelagic
15	-2.0	53	Epipelagic
16	-3.0	7	Epipelagic
17	-3.5	1	Epipelagic
18	-4.0	3	Epipelagic
19	-5.0	355	Epipelagic
20	-6.5	2	Epipelagic
21	-7.0	4	Epipelagic
22	-8.0	16	Epipelagic
23	-9.0	1	Epipelagic
24	-10.0	133	Epipelagic
25	-14.0	7	Epipelagic
26	-15.0	10	Epipelagic
27	-17.0	1	Epipelagic
28	-17.5	1	Epipelagic
29	-18.0	9	Epipelagic
30	-20.0	22	Epipelagic
31	-21.2	6	Epipelagic
32	-25.0	57	Epipelagic
33	-30.0	47	Epipelagic
34	-35.0	8	Epipelagic
35	-38.0	1	Epipelagic
36	-40.0	53	Epipelagic
37	-42.2	1	Epipelagic
38	-44.0	2	Epipelagic
39	-45.0	12	Epipelagic
40	-47.0	8	Epipelagic
41	-48.85	33	Epipelagic
42	-50.0	53	Epipelagic
43	-50.6	1	Epipelagic
44	-52.0	2	Epipelagic
45	-52.4	1	Epipelagic
46	-53.0	2	Epipelagic
47	-55.0	10	Epipelagic
48	-57.7	11	Epipelagic
49	-58.0	7	Epipelagic
50	-60.0	94	Epipelagic
51	-63.0	1	Epipelagic
52	-65.0	3	Epipelagic
53	-66.0	5	Epipelagic
54	-67.0	1	Epipelagic
55	-70.0	1	Epipelagic
56	-71.6	3	Epipelagic
57	-74.0	2	Epipelagic
58	-75.0	12	Epipelagic
59	-76.0	1	Epipelagic
60	-78.0	3	Epipelagic
61	-79.0	4	Epipelagic
62	-80.0	29	Epipelagic
63	-85.0	3	Epipelagic
64	-89.9	3	Epipelagic
65	-90.0	19	Epipelagic
66	-90.8	12	Epipelagic
67	-92.0	1	Epipelagic
68	-95.0	9	Epipelagic
69	-98.0	1	Epipelagic
70	-99.7	1	Epipelagic
71	-100.0	152	Epipelagic
72	-105.0	1	Epipelagic
73	-108.0	1	Epipelagic
74	-110.0	4	Epipelagic
75	-112.0	1	Epipelagic
76	-115.0	25	Epipelagic
77	-117.0	1	Epipelagic
78	-119.0	8	Epipelagic
79	-120.0	84	Epipelagic
80	-125.0	8	Epipelagic
81	-130.0	4	Epipelagic
82	-135.0	62	Epipelagic
83	-140.0	29	Epipelagic
84	-143.0	2	Epipelagic
85	-146.0	4	Epipelagic
86	-148.0	2	Epipelagic
87	-150.0	187	Epipelagic
88	-155.0	18	Epipelagic
89	-160.0	2	Epipelagic
90	-165.0	9	Epipelagic
91	-170.0	1	Epipelagic
92	-175.0	1	Epipelagic
93	-177.0	24	Epipelagic
94	-180.0	3	Epipelagic
95	-190.0	22	Epipelagic
96	-193.0	1	Epipelagic
97	-194.0	1	Epipelagic
98	-200.0	73	Mesopelagic
99	-208.0	16	Mesopelagic
100	-210.0	8	Mesopelagic
101	-213.0	18	Mesopelagic
102	-215.0	1	Mesopelagic
103	-220.0	1	Mesopelagic
104	-225.0	1	Mesopelagic
105	-229.78	1	Mesopelagic
106	-237.0	3	Mesopelagic
107	-247.0	4	Mesopelagic
108	-250.0	21	Mesopelagic
109	-258.0	5	Mesopelagic
110	-263.0	2	Mesopelagic
111	-270.0	21	Mesopelagic
112	-275.0	5	Mesopelagic
113	-294.0	3	Mesopelagic
114	-300.0	23	Mesopelagic
115	-340.0	17	Mesopelagic
116	-344.0	1	Mesopelagic
117	-350.0	2	Mesopelagic
118	-375.0	14	Mesopelagic
119	-380.0	8	Mesopelagic
120	-400.0	9	Mesopelagic
121	-425.0	8	Mesopelagic
122	-450.0	13	Mesopelagic
123	-480.0	11	Mesopelagic
124	-488.0	3	Mesopelagic
125	-500.0	70	Mesopelagic
126	-550.0	8	Mesopelagic
127	-590.0	6	Mesopelagic
128	-600.0	27	Mesopelagic
129	-640.0	4	Mesopelagic
130	-650.0	2	Mesopelagic
131	-668.0	1	Mesopelagic
132	-696.0	12	Mesopelagic
133	-700.0	6	Mesopelagic
134	-740.0	1	Mesopelagic
135	-750.0	23	Mesopelagic
136	-770.0	2	Mesopelagic
137	-790.0	11	Mesopelagic
138	-800.0	43	Mesopelagic
139	-803.0	1	Mesopelagic
140	-850.0	7	Mesopelagic
141	-900.0	9	Mesopelagic
142	-1000.0	50	Bathypelagic
143	-1001.0	1	Bathypelagic
144	-1045.0	1	Bathypelagic
145	-1200.0	11	Bathypelagic
146	-1300.0	1	Bathypelagic
147	-1304.0	6	Bathypelagic
148	-1331.0	1	Bathypelagic
149	-1390.0	1	Bathypelagic
150	-1468.0	2	Bathypelagic
151	-1500.0	1	Bathypelagic
152	-1700.0	1	Bathypelagic
153	-1755.0	2	Bathypelagic
154	-1810.0	1	Bathypelagic
155	-1876.0	7	Bathypelagic
156	-1937.0	2	Bathypelagic
157	-1981.0	1	Bathypelagic
158	-1998.0	2	Bathypelagic
159	-2000.0	57	Bathypelagic
160	-2147.76	2	Bathypelagic
161	-2168.0	1	Bathypelagic
162	-2200.0	1	Bathypelagic
163	-2238.0	1	Bathypelagic
164	-2304.0	11	Bathypelagic
165	-2391.0	1	Bathypelagic
166	-2400.0	2	Bathypelagic
167	-2455.0	8	Bathypelagic
168	-2488.0	1	Bathypelagic
169	-2500.0	5	Bathypelagic
170	-2502.0	6	Bathypelagic
171	-2503.0	4	Bathypelagic
172	-2520.0	6	Bathypelagic
173	-2535.0	6	Bathypelagic
174	-2547.0	1	Bathypelagic
175	-2571.0	1	Bathypelagic
176	-2641.0	1	Bathypelagic
177	-2720.0	5	Bathypelagic
178	-2745.0	6	Bathypelagic
179	-2766.0	9	Bathypelagic
180	-2770.0	6	Bathypelagic
181	-2770.84	1	Bathypelagic
182	-2771.02	1	Bathypelagic
183	-2771.28	1	Bathypelagic
184	-2772.02	1	Bathypelagic
185	-2800.0	2	Bathypelagic
186	-2820.0	6	Bathypelagic
187	-2851.0	6	Bathypelagic
188	-2914.0	1	Bathypelagic
189	-2927.0	1	Bathypelagic
190	-3000.0	1	Bathypelagic
191	-3007.91	3	Bathypelagic
192	-3100.0	4	Bathypelagic
193	-3103.11	3	Bathypelagic
194	-3199.21	3	Bathypelagic
195	-3300.0	1	Bathypelagic
196	-3309.0	1	Bathypelagic
197	-3455.0	1	Bathypelagic
198	-3456.0	1	Bathypelagic
199	-3475.0	2	Bathypelagic
200	-3500.0	5	Bathypelagic
201	-3501.1	2	Bathypelagic
202	-3504.69	5	Bathypelagic
203	-3511.0	5	Bathypelagic
204	-3514.0	5	Bathypelagic
205	-3600.0	1	Bathypelagic
206	-3770.0	1	Bathypelagic
207	-3818.06	5	Bathypelagic
208	-3838.0	2	Bathypelagic
209	-3850.0	1	Bathypelagic
210	-3850.45	1	Bathypelagic
211	-3901.64	5	Bathypelagic
212	-3906.8	5	Bathypelagic
213	-3980.0	1	Bathypelagic
214	-4000.0	232	Bathypelagic
215	-4000.29	4	Bathypelagic
216	-4000.85	5	Bathypelagic
217	-4001.3	2	Bathypelagic
218	-4001.48	1	Bathypelagic
219	-4002.12	5	Bathypelagic
220	-4002.4	3	Bathypelagic
221	-4002.51	1	Bathypelagic
222	-4002.6	6	Bathypelagic
223	-4002.69	11	Bathypelagic
224	-4003.17	10	Bathypelagic
225	-4003.26	4	Bathypelagic
226	-4003.49	7	Bathypelagic
227	-4004.03	3	Bathypelagic
228	-4004.97	1	Bathypelagic
229	-4005.01	4	Bathypelagic
230	-4012.79	7	Bathypelagic
231	-4017.73	3	Bathypelagic
232	-4155.0	1	Bathypelagic
233	-4213.0	3	Bathypelagic
234	-4350.0	1	Bathypelagic
235	-4430.0	1	Bathypelagic
236	-4435.0	3	Bathypelagic
237	-4484.0	125	Bathypelagic
238	-4511.0	4	Bathypelagic
239	-4696.0	2	Bathypelagic
240	-4746.0	1	Bathypelagic
241	-4908.0	1	Bathypelagic
242	-5000.0	1	Bathypelagic
243	-5002.0	4	Bathypelagic
244	-5003.0	1	Bathypelagic
245	-5009.0	1	Bathypelagic
246	-5076.0	1	Bathypelagic
247	-5110.0	14	Bathypelagic
248	-5245.0	1	Bathypelagic
249	-5400.0	1	Bathypelagic
250	-5900.0	1	Bathypelagic
251	-6000.0	4	Bathypelagic
252	-6886.0	1	Bathypelagic
253	-7000.0	1	Bathypelagic
254	-7034.0	1	Bathypelagic
255	-7100.0	1	Bathypelagic
256	-7126.0	2	Bathypelagic
257	-7347.0	1	Bathypelagic
258	-7500.0	1	Bathypelagic
259	-7619.0	1	Bathypelagic
260	-8000.0	2	Bathypelagic
261	-8100.0	1	Bathypelagic
262	-8101.0	1	Bathypelagic
263	-8152.0	2	Bathypelagic
264	-8289.0	2	Bathypelagic
265	-8727.0	1	Bathypelagic
266	-8900.0	1	Bathypelagic
267	-8931.0	1	Bathypelagic
268	-9600.0	60	Bathypelagic
269	-10000.0	1	Bathypelagic
270	-10400.0	69	Bathypelagic
271	-10476.0	1	Bathypelagic
272	-10500.0	62	Bathypelagic
273	-10890.0	2	Bathypelagic
274	-10893.0	5	Bathypelagic
275	-10900.0	1	Bathypelagic
276	-10901.0	1	Bathypelagic
277	-10902.0	1	Bathypelagic
278	-10908.0	2	Bathypelagic
279	-10911.0	4	Bathypelagic
280	-10918.0	1	Bathypelagic
281	-10920.0	1	Bathypelagic
