sample_id	depth	size	range
1	-0.0	7	Epipelagic
2	-0.05	8	Epipelagic
3	-0.075	7	Epipelagic
4	-0.09	6	Epipelagic
5	-0.1	1	Epipelagic
6	-0.11	2	Epipelagic
7	-0.32	1	Epipelagic
8	-0.5	2	Epipelagic
9	-1.0	1	Epipelagic
10	-2.0	1	Epipelagic
11	-4.0	1	Epipelagic
12	-4.7	1	Epipelagic
13	-5.0	2	Epipelagic
14	-6.0	3	Epipelagic
15	-10.0	2	Epipelagic
16	-10.5	1	Epipelagic
17	-11.0	1	Epipelagic
18	-12.0	1	Epipelagic
19	-14.0	2	Epipelagic
20	-14.4	1	Epipelagic
21	-15.0	3	Epipelagic
22	-16.0	2	Epipelagic
23	-17.5	1	Epipelagic
24	-17.8	3	Epipelagic
25	-19.2	1	Epipelagic
26	-20.0	2	Epipelagic
27	-21.0	1	Epipelagic
28	-22.0	6	Epipelagic
29	-22.9	1	Epipelagic
30	-23.0	1	Epipelagic
31	-24.0	3	Epipelagic
32	-25.0	1	Epipelagic
33	-27.0	11	Epipelagic
34	-28.0	2	Epipelagic
35	-29.0	1	Epipelagic
36	-30.0	1	Epipelagic
37	-31.0	12	Epipelagic
38	-31.4	1	Epipelagic
39	-36.0	2	Epipelagic
40	-40.0	1	Epipelagic
41	-41.0	1	Epipelagic
42	-42.0	1	Epipelagic
43	-43.0	1	Epipelagic
44	-46.0	1	Epipelagic
45	-48.0	1	Epipelagic
46	-50.0	5	Epipelagic
47	-52.0	3	Epipelagic
48	-55.0	1	Epipelagic
49	-60.0	2	Epipelagic
50	-69.0	1	Epipelagic
51	-70.0	1	Epipelagic
52	-78.0	2	Epipelagic
53	-83.0	1	Epipelagic
54	-100.0	1	Epipelagic
55	-102.0	1	Epipelagic
56	-105.0	2	Epipelagic
57	-111.0	1	Epipelagic
58	-114.0	1	Epipelagic
59	-118.0	1	Epipelagic
60	-127.0	4	Epipelagic
61	-130.2	1	Epipelagic
62	-145.0	30	Epipelagic
63	-150.0	1	Epipelagic
64	-161.0	3	Epipelagic
65	-164.0	1	Epipelagic
66	-167.0	1	Epipelagic
67	-190.0	1	Epipelagic
68	-200.0	5	Mesopelagic
69	-214.0	5	Mesopelagic
70	-215.0	1	Mesopelagic
71	-228.0	1	Mesopelagic
72	-230.0	1	Mesopelagic
73	-250.0	1	Mesopelagic
74	-252.0	1	Mesopelagic
75	-267.0	1	Mesopelagic
76	-276.0	1	Mesopelagic
77	-282.0	1	Mesopelagic
78	-289.0	1	Mesopelagic
79	-290.0	1	Mesopelagic
80	-291.0	2	Mesopelagic
81	-300.0	3	Mesopelagic
82	-317.0	1	Mesopelagic
83	-417.0	1	Mesopelagic
84	-428.0	9	Mesopelagic
85	-437.0	10	Mesopelagic
86	-445.0	2	Mesopelagic
87	-450.0	1	Mesopelagic
88	-460.0	3	Mesopelagic
89	-500.0	2	Mesopelagic
90	-515.0	1	Mesopelagic
91	-530.0	7	Mesopelagic
92	-550.0	2	Mesopelagic
93	-554.19	1	Mesopelagic
94	-578.0	1	Mesopelagic
95	-580.0	1	Mesopelagic
96	-600.0	4	Mesopelagic
97	-648.0	1	Mesopelagic
98	-650.0	1	Mesopelagic
99	-700.0	1	Mesopelagic
100	-756.0	1	Mesopelagic
101	-760.0	1	Mesopelagic
102	-774.0	1	Mesopelagic
103	-775.0	2	Mesopelagic
104	-848.0	2	Mesopelagic
105	-888.0	6	Mesopelagic
106	-890.0	1	Mesopelagic
107	-895.0	1	Mesopelagic
108	-901.0	1	Mesopelagic
109	-960.0	1	Mesopelagic
110	-1000.0	3	Bathypelagic
111	-1023.0	1	Bathypelagic
112	-1100.0	4	Bathypelagic
113	-1129.7	1	Bathypelagic
114	-1133.0	1	Bathypelagic
115	-1143.0	1	Bathypelagic
116	-1165.0	1	Bathypelagic
117	-1180.0	3	Bathypelagic
118	-1190.0	1	Bathypelagic
119	-1245.0	1	Bathypelagic
120	-1250.0	9	Bathypelagic
121	-1268.0	1	Bathypelagic
122	-1300.0	1	Bathypelagic
123	-1329.0	1	Bathypelagic
124	-1374.0	1	Bathypelagic
125	-1380.0	1	Bathypelagic
126	-1420.0	1	Bathypelagic
127	-1464.0	1	Bathypelagic
128	-1467.0	1	Bathypelagic
129	-1520.0	1	Bathypelagic
130	-1550.0	3	Bathypelagic
131	-1589.0	1	Bathypelagic
132	-1618.0	2	Bathypelagic
133	-1712.0	1	Bathypelagic
134	-1800.0	3	Bathypelagic
135	-1828.0	1	Bathypelagic
136	-1855.0	2	Bathypelagic
137	-1889.0	1	Bathypelagic
138	-1900.0	1	Bathypelagic
139	-1914.0	2	Bathypelagic
140	-1951.0	1	Bathypelagic
141	-1994.0	3	Bathypelagic
142	-2000.0	24	Bathypelagic
143	-2021.0	1	Bathypelagic
144	-2024.0	1	Bathypelagic
145	-2075.0	12	Bathypelagic
146	-2076.0	1	Bathypelagic
147	-2100.0	1	Bathypelagic
148	-2150.0	1	Bathypelagic
149	-2247.0	2	Bathypelagic
150	-2294.0	1	Bathypelagic
151	-2315.0	1	Bathypelagic
152	-2327.0	3	Bathypelagic
153	-2335.7	1	Bathypelagic
154	-2476.0	3	Bathypelagic
155	-2533.0	3	Bathypelagic
156	-2547.0	3	Bathypelagic
157	-2590.0	1	Bathypelagic
158	-2651.0	1	Bathypelagic
159	-2667.0	9	Bathypelagic
160	-2681.0	1	Bathypelagic
161	-2682.0	1	Bathypelagic
162	-2699.0	2	Bathypelagic
163	-2741.0	1	Bathypelagic
164	-2784.0	1	Bathypelagic
165	-2796.0	1	Bathypelagic
166	-2800.0	2	Bathypelagic
167	-2819.0	1	Bathypelagic
168	-2835.0	1	Bathypelagic
169	-2858.0	2	Bathypelagic
170	-2859.0	1	Bathypelagic
171	-2862.0	1	Bathypelagic
172	-2875.0	1	Bathypelagic
173	-2918.0	1	Bathypelagic
174	-2939.0	1	Bathypelagic
175	-2946.0	1	Bathypelagic
176	-2950.0	1	Bathypelagic
177	-3000.0	3	Bathypelagic
178	-3018.0	1	Bathypelagic
179	-3050.0	1	Bathypelagic
180	-3092.0	1	Bathypelagic
181	-3200.0	4	Bathypelagic
182	-3223.0	1	Bathypelagic
183	-3251.26	19	Bathypelagic
184	-3268.0	1	Bathypelagic
185	-3285.0	3	Bathypelagic
186	-3300.0	2	Bathypelagic
187	-3308.0	2	Bathypelagic
188	-3332.0	1	Bathypelagic
189	-3412.0	1	Bathypelagic
190	-3448.0	2	Bathypelagic
191	-3536.0	2	Bathypelagic
192	-3538.0	1	Bathypelagic
193	-3587.0	1	Bathypelagic
194	-3601.0	1	Bathypelagic
195	-3602.0	1	Bathypelagic
196	-3615.0	1	Bathypelagic
197	-3690.0	1	Bathypelagic
198	-3702.0	1	Bathypelagic
199	-3760.0	1	Bathypelagic
200	-3800.0	1	Bathypelagic
201	-3814.0	1	Bathypelagic
202	-3908.0	1	Bathypelagic
203	-4000.0	3	Bathypelagic
204	-4302.0	1	Bathypelagic
205	-4400.0	1	Bathypelagic
206	-4425.0	4	Bathypelagic
207	-4435.0	2	Bathypelagic
208	-4448.0	1	Bathypelagic
209	-4461.0	1	Bathypelagic
210	-4480.0	1	Bathypelagic
211	-4494.0	1	Bathypelagic
212	-4524.0	1	Bathypelagic
213	-4572.0	1	Bathypelagic
214	-4602.0	1	Bathypelagic
215	-4617.0	2	Bathypelagic
216	-4700.0	1	Bathypelagic
217	-4735.0	1	Bathypelagic
218	-5000.0	1	Bathypelagic
219	-5044.0	1	Bathypelagic
220	-5070.0	1	Bathypelagic
221	-5110.0	1	Bathypelagic
222	-5135.0	1	Bathypelagic
223	-5137.276	1	Bathypelagic
224	-5193.0	1	Bathypelagic
225	-5194.1	2	Bathypelagic
226	-5280.0	2	Bathypelagic
227	-5293.0	1	Bathypelagic
228	-5335.0	1	Bathypelagic
229	-5365.0	1	Bathypelagic
230	-5368.0	1	Bathypelagic
231	-5378.0	1	Bathypelagic
232	-5412.0	2	Bathypelagic
233	-5445.0	1	Bathypelagic
234	-5493.0	1	Bathypelagic
235	-5500.0	1	Bathypelagic
236	-5517.0	1	Bathypelagic
237	-5572.0	1	Bathypelagic
238	-5590.0	1	Bathypelagic
239	-5904.0	2	Bathypelagic
240	-5974.0	1	Bathypelagic
241	-6278.0	1	Bathypelagic
242	-6300.0	3	Bathypelagic
243	-6310.0	1	Bathypelagic
244	-6477.0	1	Bathypelagic
245	-6582.0	1	Bathypelagic
246	-6716.0	1	Bathypelagic
247	-6796.0	1	Bathypelagic
248	-6844.0	7	Bathypelagic
249	-7068.0	1	Bathypelagic
250	-7118.0	1	Bathypelagic
251	-7167.0	1	Bathypelagic
252	-7542.0	1	Bathypelagic
253	-7939.0	4	Bathypelagic
254	-7942.0	1	Bathypelagic
255	-8081.0	36	Bathypelagic
256	-8600.0	6	Bathypelagic
257	-8638.0	2	Bathypelagic
258	-8900.0	2	Bathypelagic
259	-9150.0	1	Bathypelagic
260	-9161.0	1	Bathypelagic
261	-9177.0	46	Bathypelagic
262	-9197.0	5	Bathypelagic
263	-10890.0	1	Bathypelagic
264	-10897.0	2	Bathypelagic
265	-10898.0	3	Bathypelagic
266	-11000.0	1	Bathypelagic
267	-11094.0	1	Bathypelagic
