sample_id	lat	lon	count	total_sample
sample_1	10.59	141.56	1	Seawater
sample_2	40.04666666666666666666666667	144.2766666666666666666666667	1	Sediment
sample_3	38.00833333333333333333333333	143.9983333333333333333333333	1	Sediment
sample_4	11.36833333333333333333333333	142.4308333333333333333333333	1	Sediment
sample_5	11.34166666666666666666666667	142.4295	1	Seawater
sample_6	-6.36	153.83	2	Mixed
sample_7	-9.8667	138.5173	1	Sediment
sample_8	-9.87	138.49	1	Sediment
sample_9	11.4	142.4	2	Mixed
sample_10	-8.040000000000000000000000000	137.6300000000000000000000000	1	Sediment
sample_11	11.325	141.188	1	Seawater
sample_12	11.132	142.157	2	Seawater
sample_13	10.995	141.936	1	Seawater
sample_14	11.017	142.278	1	Seawater
sample_15	11.33	142.197	1	Seawater
sample_16	11.329973	142.197842	4	Seawater
sample_17	11.325	142.188602	2	Seawater
sample_18	22.75	-158	124	Seawater
sample_19	21.03	118.23	1	Seawater
sample_20	20.38285	120.0041666666666666666666667	2	Sediment
sample_21	32	126.75	1	Seawater
sample_22	22.78	-158.07	11	Seawater
sample_23	69.08	49.25	1	Seawater
sample_24	66.91	-53.29	4	Seawater
sample_25	57.19	20.03	1	Seawater
sample_26	-16.06	119.35	1	Sediment
sample_27	44.37	35.42	1	Sediment
sample_28	23.07918	-24.0542	3	Seawater
sample_29	37.45	119.95	1	Sediment
sample_30	60.5	4.9	2	Seawater
sample_31	37.06	-73.51	1	Seawater
sample_32	24.31	120.52	1	Seawater
sample_33	78.92	11.95	3	Seawater
sample_34	35.5	-70.4	1	Seawater
sample_35	23.23	162.3	1	Seawater
sample_36	26.9	122.01	1	Seawater
sample_37	22.39	39.14	1	Sediment
sample_38	87.07116666666666666666666667	-170.4885	1	Sediment
sample_39	44.41	146.1	1	Ambiguous
sample_40	17.27	110.05	1	Sediment
sample_41	12.85	156.85	1	Seawater
sample_42	78.91	11.93	1	Sediment
sample_43	35.30038	139.4999	1	Seawater
sample_44	-13	-78	1	Seawater
sample_45	54.19	7.88	1	Seawater
sample_46	7.34	134.43	2	Sediment
sample_47	44.23	8.56	1	Sediment
sample_48	4.74133	-0.33057	1	Seawater
sample_49	0	-180	1	Seawater
sample_50	-10.62	97.47	1	Seawater
sample_51	22.76	-46.08	7	Sediment
sample_52	35	121	1	Sediment
sample_53	-24.26666666666666666666666667	69.78333333333333333333333333	1	Seawater
sample_54	-20.0521	115.8123	1	Sediment
sample_55	62.04	-10	3	Seawater
sample_56	15.4337	112.00873	1	Sediment
sample_57	-22.53	-176.8	1	Ambiguous
sample_58	75.14	161.25	1	Seawater
sample_59	54.18	7.9	21	Seawater
sample_60	17	115	1	Seawater
sample_61	55.73	12.58	3	Seawater
sample_62	-27.6162	15.13242	4	Seawater
sample_63	38.95	121.9	1	Seawater
sample_64	20	124	31	Mixed
sample_65	34.9	134.89	1	Seawater
sample_66	24.13	124.19	1	Ambiguous
sample_67	36.14	126.32	2	Sediment
sample_68	4.57047	-1.72975	1	Seawater
sample_69	-31.4061	91.17758	2	Seawater
sample_70	34.85	127.783	1	Seawater
sample_71	10.29	103.88	1	Seawater
sample_72	37.84	-31.53	4	Ambiguous
sample_73	-6.7	149.8	1	Sediment
sample_74	43	-155	1	Seawater
sample_75	47.97	-129.1	1	Ambiguous
sample_76	56.93	17.06	45	Seawater
sample_77	6.36	60.52	1	Ambiguous
sample_78	34.42	34	1	Seawater
sample_79	34.45	126.78	1	Seawater
sample_80	20	127	36	Mixed
sample_81	78.9244	12.12588333333333333333333333	1	Seawater
sample_82	-30	-170.01	1	Ambiguous
sample_83	20.9	70.38	1	Sediment
sample_84	54.18416	7.9	8	Seawater
sample_85	-66.365	33.77833333333333333333333333	1	Seawater
sample_86	19.5	115	1	Seawater
sample_87	9.99	88	1	Sediment
sample_88	-4.18	119.62	1	Seawater
sample_89	10.72	140.23	1	Seawater
sample_90	-37.78	49.65	1	Ambiguous
sample_91	46	-130	1	Ambiguous
sample_92	22.74	-157.91	4	Seawater
sample_93	27.7	-91.3	1	Seawater
sample_94	75.006667	-169.993611	1	Sediment
sample_95	4	69.34	1	Seawater
sample_96	31.97	30.14	1	Ambiguous
sample_97	47.57	-129.05	2	Ambiguous
sample_98	0	140	1	Seawater
sample_99	8.377222222222222222222222223	-145.3988888888888888888888889	1	Sediment
sample_100	19.3	157.24	1	Sediment
sample_101	17.62	-20.95	2	Seawater
sample_102	78.01	-168.01	1	Sediment
sample_103	14.6	144.78	6	Ambiguous
sample_104	38.98	-49.73	3	Seawater
sample_105	34.67	23.72	1	Seawater
sample_106	11.33333333333333333333333333	142.1916666666666666666666667	2	Seawater
sample_107	19	119	2	Seawater
sample_108	19.75	40.05	8	Seawater
sample_109	7.334583333333333333333333333	134.4965277777777777777777777	1	Seawater
sample_110	22.12	119.28	1	Ambiguous
sample_111	31.2	129.59	1	Sediment
sample_112	32.59	121.5	1	Seawater
sample_113	39.34	141.95	1	Sediment
sample_114	27.64	126.88	1	Sediment
sample_115	24.546788	-81.788824	1	Seawater
sample_116	54.1883	7.9	209	Mixed
sample_117	18.27	111	1	Seawater
sample_118	30.879	121.959	1	Seawater
sample_119	-13.9	-14.4	6	Mixed
sample_120	15.58	154.17	1	Sediment
sample_121	54.146	11.843	3	Seawater
sample_122	11.96493333333333333333333333	117.9546	1	Sediment
sample_123	45.59	30.42	2	Seawater
sample_124	-31.07	58.9945	1	Seawater
sample_125	-4	88	1	Seawater
sample_126	-31.071	58.9945	1	Seawater
sample_127	19	118.5	2	Seawater
sample_128	38.23	119.04	1	Seawater
sample_129	-30.47	62.55	1	Seawater
sample_130	4.570467	-1.72975	1	Seawater
sample_131	69	-172	1	Ambiguous
sample_132	-4.6	-105	3	Seawater
sample_133	28.73	122.58	2	Seawater
sample_134	4.57	-14.71	1	Seawater
sample_135	60.9	-177.7	1	Seawater
sample_136	17.53	114.34	1	Sediment
sample_137	53.33	169.96	2	Seawater
sample_138	54.15	11.84	7	Seawater
sample_139	22.31	114.12	1	Sediment
sample_140	-34.62	-72.45	1	Seawater
sample_141	8.2	-133	1	Seawater
sample_142	19.9	115.23	1	Seawater
sample_143	-17.41666666666666666666666667	-113.2	2	Ambiguous
sample_144	32.56	132.3	1	Seawater
sample_145	27.72398666666666666666666667	-91.27939666666666666666666667	1	Sediment
sample_146	-62.14	-57.35	1	Seawater
sample_147	54.33	18.39	2	Seawater
sample_148	18	129	37	Mixed
sample_149	8.49177	111.0187	1	Sediment
sample_150	4.002794444444444444444444444	69.34217777777777777777777777	1	Seawater
sample_151	59.2911	22.5402	1	Seawater
sample_152	33.3	134.2166666666666666666666667	1	Seawater
sample_153	27.0442	-18.2006	1	Sediment
sample_154	37.16055555555555555555555556	122.41	1	Sediment
sample_155	36.71	-122.11	1	Sediment
sample_156	36.96	-71.22	1	Seawater
sample_157	-1.920666666666666666666666667	7.1505	1	Sediment
sample_158	21.37	119.41	1	Sediment
sample_159	22.12	119.29	16	Ambiguous
sample_160	20	120	12	Mixed
sample_161	41.67	2.8	19	Seawater
sample_162	43.06	5.57	1	Seawater
sample_163	31.64	130.78	1	Sediment
sample_164	36.23333333333333333333333333	-33.9	1	Ambiguous
sample_165	-3	-102.55	1	Ambiguous
sample_166	-20.89	-11.42	1	Sediment
sample_167	21.6	118.19	1	Seawater
sample_168	-26.98	178.2	1	Seawater
sample_169	45.441947	12.315745	1	Sediment
sample_170	-16.0227	119.3226	1	Seawater
sample_171	15.5	154.4	1	Sediment
sample_172	35.16	139.61	14	Seawater
sample_173	24.33	-110.33	1	Sediment
sample_174	-5.3	-106.48	1	Sediment
sample_175	-23.9723	-46.3295	1	Seawater
sample_176	-55.6357	-167.539	1	Seawater
sample_177	22.1155725	119.2858130555555555555555555	1	Sediment
sample_178	39.28	-0.22	2	Seawater
sample_179	-13.87	-76.8	2	Seawater
sample_180	-31.07	58.99	1	Seawater
sample_181	13.05277	109.1992900000000000000000000	1	Sediment
sample_182	37.83	-31.52	1	Ambiguous
sample_183	15.40916666666666666666666666	70.50666666666666666666666667	1	Sediment
sample_184	86.80326666666666666666666667	120.3502833333333333333333333	1	Seawater
sample_185	28.98	-64.35	5	Seawater
sample_186	-15	-135	3	Seawater
sample_187	0.55	-29.21	1	Sediment
sample_188	29.47	34.92	4	Seawater
sample_189	36	121	1	Sediment
sample_190	-38.407	66.3738	4	Sediment
sample_191	36.23	-33.9	1	Ambiguous
sample_192	36.745456	-3.601125	1	Seawater
sample_193	21.935004	120.821419	1	Seawater
sample_194	-13.47	-0.05	3	Seawater
sample_195	60.27	5.22	2	Seawater
sample_196	62.9	-173.45	1	Seawater
sample_197	-31.41	91.18	3	Seawater
sample_198	-54.6153	34.84631	1	Sediment
sample_199	-34.32	-55.15	1	Sediment
sample_200	24	67	3	Seawater
sample_201	54.3538	10.1633	1	Seawater
sample_202	21.68	-17.83	1	Seawater
sample_203	19.5	130	13	Mixed
sample_204	37.871	-122.272	1	Seawater
sample_205	34.76	-66.19	1	Seawater
sample_206	60.27	5.21	1	Seawater
sample_207	-6.4	153.8	1	Sediment
sample_208	32.5	122.31	1	Seawater
sample_209	-29.2856	-71.883	3	Seawater
sample_210	36.22	-33.9	2	Ambiguous
sample_211	36.42	129.28	1	Seawater
sample_212	44.1675	36.1896	1	Seawater
sample_213	38.3912	14.9676	1	Sediment
sample_214	28.5	-67.3917	1	Seawater
sample_215	53.723692	8.172912	1	Ambiguous
sample_216	57.26	8.73	1	Sediment
sample_217	-22.94	-174.73	1	Sediment
sample_218	32	160	1	Seawater
sample_219	-3.966666666666666666666666667	-102.9166666666666666666666667	1	Ambiguous
sample_220	37.51	-64.24	2	Seawater
sample_221	11.43	142.36	1	Seawater
sample_222	6.35	60.51666666666666666666666667	2	Ambiguous
sample_223	36.67	121.99	3	Sediment
sample_224	10.97	-32.2	2	Seawater
sample_225	30.67	138	1	Seawater
sample_226	6.8	60.18	1	Ambiguous
sample_227	4.30457	-1.86013	1	Seawater
sample_228	11.38393333333333333333333333	142.5	2	Seawater
sample_229	22.11621777777777777777777778	119.2847100000000000000000000	3	Mixed
sample_230	18.92	-155.27	1	Ambiguous
sample_231	11.71	92.75	1	Seawater
sample_232	-47.94472	-61.92306	1	Seawater
sample_233	22	114	2	Mixed
sample_234	-24.16	5.48	1	Seawater
sample_235	16.75	69	1	Sediment
sample_236	34.39	132.46	1	Sediment
sample_237	3.71	63.65	1	Sediment
sample_238	11.32	142.38	1	Seawater
sample_239	22.5	114	1	Seawater
sample_240	-9.108	156.8595	1	Ambiguous
sample_241	24.56	118.17	2	Seawater
sample_242	-6.6	149.8	1	Sediment
sample_243	-9.9	138.39	1	Sediment
sample_244	25.02	-110.3	1	Sediment
sample_245	-13.3145	156.9585	1	Seawater
sample_246	0.4383333333333333333333333333	-17.06583333333333333333333333	1	Sediment
sample_247	33.4625	126.94	1	Seawater
sample_248	43.389643	4.987657	1	Sediment
sample_249	38.64	15.11	3	Ambiguous
sample_250	12.92	143.65	2	Ambiguous
sample_251	41.206	2.833666666666666666666666667	1	Sediment
sample_252	20.505	116.502	1	Sediment
sample_253	4.4	0.27	1	Seawater
sample_254	45.96666666666666666666666667	-163.1833333333333333333333333	1	Seawater
sample_255	30.43	122.46	3	Mixed
sample_256	44.943995	137.2017716666666666666666667	1	Sediment
sample_257	-24.52	69.93	1	Seawater
sample_258	36.06	120.37	1	Seawater
sample_259	37.24	131.87	3	Seawater
sample_260	24.27	118.04	2	Seawater
sample_261	11.312	142.7	1	Seawater
sample_262	9	-154	1	Seawater
sample_263	10.37	142.43	1	Sediment
sample_264	15.58	154.61	1	Sediment
sample_265	-24.28	69.79	1	Seawater
sample_266	71.0317603	-8.292371	1	Sediment
sample_267	32	145	3	Seawater
sample_268	-41.85	-153.1	1	Seawater
sample_269	31.95	139.74	1	Ambiguous
sample_270	42.68333333333333333333333333	139.6833333333333333333333333	1	Sediment
sample_271	8.05	137.55	1	Sediment
sample_272	45	147.37	1	Seawater
sample_273	35.88	129.52	1	Seawater
sample_274	-37.78305555555555555555555556	49.64833333333333333333333333	1	Sediment
sample_275	75.00845	-162.0290666666666666666666667	1	Sediment
sample_276	-73.5	-112	1	Seawater
sample_277	46.06	-130	1	Ambiguous
sample_278	54.183	12.095	1	Seawater
sample_279	-62.13	-58.58	1	Sediment
sample_280	-25.32	70.03	1	Ambiguous
sample_281	73.42	167.41	1	Sediment
sample_282	54.5019	18.5594	1	Seawater
sample_283	37.60619444444444444444444444	126.3831666666666666666666667	1	Seawater
sample_284	12.99833333333333333333333333	147.9819444444444444444444445	1	Sediment
sample_285	41.52	-70.67	1	Seawater
sample_286	-19.75	114.86	2	Seawater
sample_287	36.07	120.23	1	Sediment
sample_288	16.99902	124.9715966666666666666666667	2	Sediment
sample_289	20	160	1	Seawater
sample_290	69.5	-168.9833	1	Seawater
sample_291	8	142.5	1	Sediment
sample_292	1.753166666666666666666666667	-4.979166666666666666666666667	1	Ambiguous
sample_293	36.78	126.14	1	Seawater
sample_294	21.30261944	117.7109306	1	Seawater
sample_295	9.81	-104.2	1	Ambiguous
sample_296	32	138.22	1	Seawater
sample_297	24.42	118.1	1	Seawater
sample_298	-14.72	-13.46	1	Sediment
sample_299	22.11627722222222222222222222	119.2853672222222222222222222	2	Ambiguous
sample_300	11.04	142.24	1	Sediment
sample_301	18.32	109.15	1	Seawater
sample_302	-7.8	110.37	1	Sediment
sample_303	-37.78333333333333333333333333	49.65	2	Mixed
sample_304	10.995	114.995	1	Sediment
sample_305	-4.93202	4.483083	1	Seawater
sample_306	-9.49725	-79.6658	1	Seawater
sample_307	-17.09	-72.42	2	Seawater
sample_308	33.23945	126.55	1	Sediment
sample_309	38.65	15.08	2	Seawater
sample_310	58.6	18.23	1	Seawater
sample_311	18	116	2	Mixed
sample_312	50.16	-5.1	1	Seawater
sample_313	-25	-170.01	2	Ambiguous
sample_314	12.8	-103.9333333333333333333333333	3	Ambiguous
sample_315	-26.76	67.71	1	Sediment
sample_316	79.98485	11.52885	1	Sediment
sample_317	36.07	120.31	1	Sediment
sample_318	60.16	5.08	1	Sediment
sample_319	41.18	142.2	2	Sediment
sample_320	11.33	142.2	4	Seawater
sample_321	21.3304	119.3564	1	Seawater
sample_322	20.646	112.059	1	Sediment
sample_323	24.458	118.247	1	Seawater
sample_324	30.18	145.08	1	Seawater
sample_325	20.23	-87.19	1	Sediment
sample_326	42.76	131.66	1	Seawater
sample_327	6.38	60.51	1	Sediment
sample_328	3.71	63.83	1	Seawater
sample_329	9.25	-154.07	1	Sediment
sample_330	12.2059	-21.0234	1	Seawater
sample_331	-33.02	-71.65	1	Sediment
sample_332	-34	-73.37	1	Seawater
sample_333	-22.53	-176.7	1	Seawater
sample_334	36.350329	126.601265	1	Seawater
sample_335	75.44	-169.1	1	Sediment
sample_336	64.04	-22.7	1	Seawater
sample_337	-10.3454	157.7956	1	Ambiguous
sample_338	9.83	-104.29	2	Ambiguous
sample_339	10.72	140.12	1	Seawater
sample_340	15	110.5	1	Seawater
sample_341	38.12416666666666666666666667	0.08972222222222222222222222222	1	Seawater
sample_342	20.53	161.09	1	Sediment
sample_343	35.61	140.11	1	Seawater
sample_344	39.970433	177.32685	1	Seawater
sample_345	41.0748	-72.9461	1	Seawater
sample_346	24.86	123.84	5	Ambiguous
sample_347	59.8	-151.92	1	Seawater
sample_348	16	130	2	Seawater
sample_349	11.99833	92.97556	1	Seawater
sample_350	6.999666666666666666666666667	113.0136166666666666666666667	1	Sediment
sample_351	-10.1787	157.5939	1	Seawater
sample_352	24.73333333333333333333333333	36.28333333333333333333333333	2	Seawater
sample_353	-67.42	74.39	1	Sediment
sample_354	-3.1	-102.55	3	Ambiguous
sample_355	79.03250000000000000000000000	12.55000000000000000000000000	1	Sediment
sample_356	53.42	7.43	1	Seawater
sample_357	-13.818	-76.7648	1	Seawater
sample_358	55	10.11	2	Sediment
sample_359	-26.48	-137.93	1	Seawater
sample_360	-15.6	-13.35	1	Sediment
sample_361	84.48	158.02	1	Ambiguous
sample_362	47	170.58	1	Sediment
sample_363	41.525132	-70.673184	1	Seawater
sample_364	24.16	129.2	1	Seawater
sample_365	-36.93	51.3	2	Seawater
sample_366	22.15	158.98	1	Sediment
sample_367	8	132	1	Seawater
sample_368	34.22	141.25	1	Sediment
sample_369	-10.7024	157.4818	1	Seawater
sample_370	34	18	1	Seawater
sample_371	11.38586666666666666666666667	142.4843666666666666666666667	1	Seawater
sample_372	11.2	142.2	1	Seawater
sample_373	-15.25	-13.68333333333333333333333333	1	Sediment
sample_374	-38.76	-47.43	1	Sediment
sample_375	10.47	140.13	1	Seawater
sample_376	8	85.3	1	Ambiguous
sample_377	24.33583333333333333333333333	124.1027777777777777777777778	1	Ambiguous
sample_378	11.7	75.5	1	Sediment
sample_379	18	109	1	Seawater
sample_380	-76.84	169.99	1	Sediment
sample_381	21.9	120.8	1	Seawater
sample_382	-37.81	49.84	3	Sediment
sample_383	35.1	128.6	1	Sediment
sample_384	54.09	7.936	1	Seawater
sample_385	34.4	139.48	2	Seawater
sample_386	32.01	122.16	1	Sediment
sample_387	22.466098	120.444	1	Seawater
sample_388	53.49	-23.33	1	Seawater
sample_389	37.917	-0.28	1	Seawater
sample_390	-25.32	70.04	4	Mixed
sample_391	-74.7667	166.7767	1	Sediment
sample_392	-37.81666666666666666666666667	72	2	Seawater
sample_393	27.6725	126.9851666666666666666666667	1	Ambiguous
sample_394	21.4722	-157.9772	2	Seawater
sample_395	30.25	123	1	Seawater
sample_396	21.13277777777777777777777778	118.4305555555555555555555555	1	Seawater
sample_397	16.525	111.768	1	Seawater
sample_398	35	139.3333333333333333333333333	1	Seawater
sample_399	-20.6	-176.2	4	Mixed
sample_400	-37.76666666666666666666666667	49.63333333333333333333333333	1	Seawater
sample_401	20.71	-21.17	1	Seawater
sample_402	-7.42095	155.6029	3	Seawater
sample_403	47.69	-122.4	1	Seawater
sample_404	58.62	18.25	1	Sediment
sample_405	37.85	-31.51666666666666666666666667	1	Ambiguous
sample_406	32.1	-64.3	1	Ambiguous
sample_407	10.81	141.18	1	Sediment
sample_408	31.59	130.55	1	Sediment
sample_409	-17.27	121.13	1	Seawater
sample_410	-1.1	7.516666666666666666666666667	1	Sediment
sample_411	42.48	3.13	1	Seawater
sample_412	7	88	1	Seawater
sample_413	14	114	1	Seawater
sample_414	11.59	141.88	1	Sediment
sample_415	-47.8	-15.28	1	Seawater
sample_416	12.97	-44.86	1	Ambiguous
sample_417	-38.3	50.08333333333333333333333333	1	Ambiguous
sample_418	-17.7746	121.8656	1	Sediment
sample_419	-37.78555000000000000000000000	49.8507	1	Sediment
sample_420	-37.6866	50.4873	1	Sediment
sample_421	30.19	136.64	1	Sediment
sample_422	-7.8244	156.0689	1	Seawater
sample_423	76	-146.82	1	Seawater
sample_424	1.2681	103.5087	1	Seawater
sample_425	9.83	-104.28	1	Ambiguous
sample_426	61	1.98	1	Seawater
sample_427	20.3	-157.3	1	Seawater
sample_428	27.80783333333333333333333333	126.9053333333333333333333333	1	Sediment
sample_429	19.31	115.75	1	Seawater
sample_430	11.33	142.19	1	Sediment
sample_431	54.42	6.48	1	Seawater
sample_432	-4.48	-12.22	1	Ambiguous
sample_433	-8.05872	137.52329	1	Sediment
sample_434	20.73	38.18333333333333333333333333	2	Seawater
sample_435	-38.95	47.41	1	Sediment
sample_436	-18.48	-12.85	1	Sediment
sample_437	-21.99	-176.57	1	Ambiguous
sample_438	35.08	-20.85	1	Seawater
sample_439	21.28	38.05	4	Seawater
sample_440	22.2345	114.1952	1	Seawater
sample_441	9.775005	-104.2801666666666666666666667	1	Ambiguous
sample_442	-7.9	84.14	1	Sediment
sample_443	54.184	7.9	1	Seawater
sample_444	41.31	37.37	1	Sediment
sample_445	-13.8718	-76.8039	2	Seawater
sample_446	-58.2633672	-60.9820589	2	Sediment
sample_447	1.2	130	1	Seawater
sample_448	-37.6148	50.9711	1	Sediment
sample_449	22.1275	119.2858333333333333333333333	1	Sediment
sample_450	-40.01	-170.01	1	Ambiguous
sample_451	8.38	-145.4	1	Sediment
sample_452	28.57145	140.6443833333333333333333333	1	Ambiguous
sample_453	57.725	10.597	1	Sediment
sample_454	32.5	-117.16	1	Sediment
sample_455	31.67	-64.17	7	Seawater
sample_456	30.18	130.1	1	Sediment
sample_457	31.21	130.64	1	Sediment
sample_458	36.07	141.79	1	Sediment
sample_459	39.48	121.27	1	Sediment
sample_460	-66.01	67.9	1	Sediment
sample_461	20	121	10	Mixed
sample_462	-37.85	-31.51666666666666666666666667	1	Ambiguous
sample_463	22.88	160.55	1	Sediment
sample_464	-33.28	50.75	1	Seawater
sample_465	59.99	3.04	1	Seawater
sample_466	-9.5	-79.67	1	Seawater
sample_467	73.55	8.15	2	Ambiguous
sample_468	24.52	123.51	1	Ambiguous
sample_469	49.37	154.15	1	Seawater
sample_470	27.81	126.91	1	Sediment
sample_471	11.35	142.28	1	Seawater
sample_472	18.48783333333333333333333333	112.395	1	Seawater
sample_473	-22.33	166.33	1	Seawater
sample_474	59.69	179.34	1	Seawater
sample_475	35.73	140.83	1	Seawater
sample_476	-75.29	164.8	1	Seawater
sample_477	5	130	1	Seawater
sample_478	22.167	115.153	1	Seawater
sample_479	35.59545555555555555555555555	126.61	1	Sediment
sample_480	70.65	-135.95	1	Sediment
sample_481	45	178.75	1	Seawater
sample_482	35	138.3	1	Seawater
sample_483	41	6	1	Seawater
sample_484	31.25	-20.72	1	Seawater
sample_485	32.5	126	1	Seawater
sample_486	87.06666666666666666666666667	-170.4833333333333333333333333	1	Sediment
sample_487	46.27	-129.8	1	Seawater
sample_488	0	-140	2	Seawater
sample_489	10.35	142.29	1	Sediment
sample_490	41.9	10.43	1	Seawater
sample_491	41.525993	-70.676093	1	Ambiguous
sample_492	36.67318333333333333333333333	24.52033333333333333333333333	1	Ambiguous
sample_493	-60.67	40.02	1	Seawater
sample_494	8	136	1	Seawater
sample_495	-14.2369	-76.6021	1	Seawater
sample_496	21.49	108.48	1	Seawater
sample_497	54.08	7.52	1	Seawater
sample_498	7.35	134.42	1	Sediment
sample_499	2.01	81.03	1	Sediment
sample_500	33.3	134.18	1	Seawater
sample_501	39.606028	-0.264832	1	Seawater
sample_502	30.19	130.1	1	Seawater
sample_503	-6.1	153	1	Sediment
sample_504	8.885555555555555555555555555	142.9975000000000000000000000	1	Sediment
sample_505	35	139.33	1	Seawater
sample_506	1.23	-101.48	1	Sediment
sample_507	-15.7	80.4	1	Seawater
sample_508	6.3	87	1	Ambiguous
sample_509	29.52	121.62	1	Sediment
sample_510	31.7	130.8	1	Sediment
sample_511	14.75	-44.98	3	Ambiguous
sample_512	42.69326666666666666666666667	3.84155	2	Sediment
sample_513	35	139.2	1	Seawater
sample_514	38.3203	118.9964	1	Sediment
sample_515	-14.1	-14.4	1	Sediment
sample_516	27.77	-37.03	1	Seawater
sample_517	27.04	127.96	1	Ambiguous
sample_518	38.36	128.59	1	Seawater
sample_519	37.14	131.52	1	Seawater
sample_520	37.28333333333333333333333333	-32.26666666666666666666666667	1	Ambiguous
