cluster	Epipelagic-Seawater	Mesopelagic-Seawater	Bathypelagic-Seawater
409_0	4.321928094887363	2.584962500721156	3.807354922057604
866_0	4.392317422778761	1.0	2.0
954_0	4.584962500721156	1.0	0.0
956_0	4.954196310386875	1.0	0.0
769_0	4.392317422778761	1.0	0.0
861_0	4.954196310386875	1.0	1.584962500721156
1001_0	3.9068905956085187	1.0	2.0
955_0	5.906890595608519	2.584962500721156	4.459431618637297
168_0	4.247927513443585	2.0	3.0
1078_0	4.459431618637297	2.0	4.321928094887363
586_0	4.321928094887363	1.0	3.321928094887362
1070_0	2.584962500721156	0.0	3.9068905956085187
583_0	4.169925001442312	1.0	2.584962500721156
425_0	4.087462841250339	1.584962500721156	0.0
379_1	3.169925001442312	1.0	2.807354922057604
1008_0	2.807354922057604	1.584962500721156	3.4594316186372973
926_0	4.169925001442312	0.0	0.0
587_0	3.0	1.584962500721156	2.807354922057604
1077_0	3.321928094887362	1.0	2.584962500721156
1232_0	3.321928094887362	1.0	3.0
1087_0	5.087462841250339	0.0	0.0
1003_0	3.9068905956085187	0.0	2.584962500721156
