cluster	Epipelagic-Sediment	Mesopelagic-Sediment	Bathypelagic-Sediment
286_0	1.584962500721156	0.0	2.584962500721156
409_0	2.0	0.0	3.0
188_0	1.584962500721156	1.584962500721156	1.584962500721156
1001_0	0.0	1.0	2.321928094887362
955_0	2.584962500721156	1.584962500721156	3.169925001442312
168_0	1.584962500721156	1.584962500721156	2.807354922057604
1023_0	2.0	0.0	2.584962500721156
334_0	0.0	0.0	3.169925001442312
586_0	0.0	0.0	2.584962500721156
583_0	2.0	1.0	2.807354922057604
1099_0	0.0	0.0	2.584962500721156
1008_0	2.321928094887362	0.0	2.584962500721156
1077_0	1.0	0.0	2.321928094887362
99_0	1.0	1.0	3.584962500721156
251_0	1.584962500721156	1.0	3.0
470_0	3.321928094887362	0.0	0.0
1137_0	3.321928094887362	0.0	0.0
299_0	2.321928094887362	0.0	2.0
97_0	1.0	0.0	2.321928094887362
1437_0	1.0	0.0	2.321928094887362
1053_0	2.0	0.0	2.0
