Superkindom	Phylum	Class	distance	value
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.017411755158020403
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006097184430728089
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.009636462564674654
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008220222660893535
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.02941502765000606
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006599338465775734
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.024323103453452354
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.009111876938342358
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004400555393956313
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.045807647461002354
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004632597371170731
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.014267325638654125
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007562225009892675
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004667791317357579
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008340992064277408
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007331317412203341
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.015991680679939245
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006741643940121154
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0172049883977233
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.00632481297246427
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.015162018029292111
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.005352037827950138
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.029731971640973874
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.01464020820407295
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010166004637897888
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006522389633315352
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.00817870268565217
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.00473184774181109
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007729915316728828
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007883732963678267
