sample_type	sample	distance	value
Sediment	Bathypelagic-Sediment	codon_distance	0.017411755158020403
Sediment	Bathypelagic-Sediment	codon_distance	0.01562023400718081
Sediment	Bathypelagic-Sediment	codon_distance	0.011848867694458693
Sediment	Bathypelagic-Sediment	codon_distance	0.025653515890359656
Sediment	Bathypelagic-Sediment	codon_distance	0.01839288832302907
Sediment	Bathypelagic-Sediment	codon_distance	0.0042480143711131945
Sediment	Bathypelagic-Sediment	codon_distance	0.004453027600420741
Sediment	Bathypelagic-Sediment	codon_distance	0.007983286421060925
Sediment	Bathypelagic-Sediment	codon_distance	0.02172911693983381
Sediment	Bathypelagic-Sediment	codon_distance	0.02615295096339102
Sediment	Bathypelagic-Sediment	codon_distance	0.014267325638654125
Sediment	Bathypelagic-Sediment	codon_distance	0.004667791317357579
Sediment	Bathypelagic-Sediment	codon_distance	0.007331317412203341
Sediment	Bathypelagic-Sediment	codon_distance	0.006741643940121154
Sediment	Bathypelagic-Sediment	codon_distance	0.04655098150079905
Sediment	Bathypelagic-Sediment	codon_distance	0.013530767229140917
Sediment	Bathypelagic-Sediment	codon_distance	0.0064611736056941265
Sediment	Bathypelagic-Sediment	codon_distance	0.006699115733403141
Sediment	Bathypelagic-Sediment	codon_distance	0.023651288647157646
Sediment	Bathypelagic-Sediment	codon_distance	0.0076663429499365865
Sediment	Bathypelagic-Sediment	codon_distance	0.005608803267350927
Sediment	Bathypelagic-Sediment	codon_distance	0.016683027185441582
Sediment	Bathypelagic-Sediment	codon_distance	0.02376942154037573
Sediment	Bathypelagic-Sediment	codon_distance	0.004232526594417457
Sediment	Bathypelagic-Sediment	codon_distance	0.009751661370166281
Sediment	Bathypelagic-Sediment	codon_distance	0.008676832606049147
Sediment	Bathypelagic-Sediment	codon_distance	0.010461275124555015
Sediment	Bathypelagic-Sediment	codon_distance	0.02574701682021227
Sediment	Bathypelagic-Sediment	codon_distance	0.012241009674528418
Sediment	Bathypelagic-Sediment	codon_distance	0.00869669359988702
Sediment	Bathypelagic-Sediment	codon_distance	0.01888117414742908
Sediment	Bathypelagic-Sediment	codon_distance	0.03536900512151019
Sediment	Bathypelagic-Sediment	codon_distance	0.002974128282651014
Sediment	Bathypelagic-Sediment	codon_distance	0.01341548605456772
Sediment	Bathypelagic-Sediment	codon_distance	0.043944816450236124
Sediment	Bathypelagic-Sediment	codon_distance	0.01401862639983131
Sediment	Bathypelagic-Sediment	codon_distance	0.004882660566414182
Sediment	Bathypelagic-Sediment	codon_distance	0.02021451535960381
Sediment	Bathypelagic-Sediment	codon_distance	0.008708102464582899
Sediment	Bathypelagic-Sediment	codon_distance	0.013594350878824199
Sediment	Bathypelagic-Sediment	codon_distance	0.01451006450782548
Sediment	Bathypelagic-Sediment	codon_distance	0.01388388120889583
Sediment	Bathypelagic-Sediment	codon_distance	0.02071821275293551
Sediment	Bathypelagic-Sediment	codon_distance	0.006674329994730445
Sediment	Bathypelagic-Sediment	codon_distance	0.01243601196510669
Sediment	Bathypelagic-Sediment	codon_distance	0.005171060950735049
Sediment	Bathypelagic-Sediment	codon_distance	0.010965978427636287
Sediment	Bathypelagic-Sediment	codon_distance	0.015535048049260616
Sediment	Bathypelagic-Sediment	codon_distance	0.023222194378357167
Sediment	Bathypelagic-Sediment	codon_distance	0.005013620968030941
Sediment	Bathypelagic-Sediment	codon_distance	0.01167811395927868
Sediment	Bathypelagic-Sediment	codon_distance	0.010573111975154788
Sediment	Bathypelagic-Sediment	codon_distance	0.04520628700702028
Sediment	Bathypelagic-Sediment	codon_distance	0.02611037883759196
Sediment	Bathypelagic-Sediment	codon_distance	0.004640979554159422
Sediment	Bathypelagic-Sediment	codon_distance	0.022628164035643092
Sediment	Bathypelagic-Sediment	codon_distance	0.010076668104291647
Sediment	Bathypelagic-Sediment	codon_distance	0.016906043934554874
Sediment	Bathypelagic-Sediment	codon_distance	0.02038362842536386
Sediment	Bathypelagic-Sediment	codon_distance	0.01904518253680874
Sediment	Bathypelagic-Sediment	codon_distance	0.024056147558383784
Sediment	Bathypelagic-Sediment	codon_distance	0.01589900088653958
Sediment	Bathypelagic-Sediment	codon_distance	0.017232469835029858
Sediment	Bathypelagic-Sediment	codon_distance	0.0046878485661060315
Sediment	Bathypelagic-Sediment	codon_distance	0.025970842462132382
Sediment	Bathypelagic-Sediment	codon_distance	0.011164640073900944
Sediment	Bathypelagic-Sediment	codon_distance	0.007561375490832718
Sediment	Bathypelagic-Sediment	codon_distance	0.01962018677046701
Sediment	Bathypelagic-Sediment	codon_distance	0.019572090252556212
Sediment	Bathypelagic-Sediment	codon_distance	0.010681672469152933
Sediment	Bathypelagic-Sediment	codon_distance	0.015244814411929583
Sediment	Bathypelagic-Sediment	codon_distance	0.005613625046881425
Sediment	Bathypelagic-Sediment	codon_distance	0.012878371945675149
Sediment	Bathypelagic-Sediment	codon_distance	0.013281288196440156
Sediment	Bathypelagic-Sediment	codon_distance	0.01562538122013511
Sediment	Bathypelagic-Sediment	codon_distance	0.01113115048254212
Sediment	Bathypelagic-Sediment	codon_distance	0.024595874049347117
Sediment	Bathypelagic-Sediment	codon_distance	0.007914005306224407
Sediment	Bathypelagic-Sediment	codon_distance	0.013340418434321094
Sediment	Bathypelagic-Sediment	codon_distance	0.012045943578683101
Sediment	Bathypelagic-Sediment	codon_distance	0.010546457459901876
Sediment	Bathypelagic-Sediment	codon_distance	0.012799556007889228
Sediment	Bathypelagic-Sediment	codon_distance	0.015391339580818017
Sediment	Bathypelagic-Sediment	codon_distance	0.015582000199662304
Sediment	Bathypelagic-Sediment	codon_distance	0.01834299616024556
Sediment	Bathypelagic-Sediment	codon_distance	0.017659871306606328
Sediment	Bathypelagic-Sediment	codon_distance	0.026497388957690014
Sediment	Bathypelagic-Sediment	codon_distance	0.008466005247042314
Sediment	Bathypelagic-Sediment	codon_distance	0.006171207395895677
Sediment	Bathypelagic-Sediment	codon_distance	0.013983417206043952
Sediment	Bathypelagic-Sediment	codon_distance	0.02179885443874996
Sediment	Bathypelagic-Sediment	codon_distance	0.01720553159029124
Sediment	Bathypelagic-Sediment	codon_distance	0.009838944786521843
Sediment	Bathypelagic-Sediment	codon_distance	0.018826568573802008
Sediment	Bathypelagic-Sediment	codon_distance	0.024400110048366463
Sediment	Bathypelagic-Sediment	codon_distance	0.009212027202186645
Sediment	Bathypelagic-Sediment	codon_distance	0.011620578513079726
Sediment	Bathypelagic-Sediment	codon_distance	0.015078066344228888
Sediment	Bathypelagic-Sediment	codon_distance	0.011070958606183616
Sediment	Bathypelagic-Sediment	codon_distance	0.01118372796577917
Sediment	Bathypelagic-Sediment	codon_distance	0.01767860423522466
Sediment	Bathypelagic-Sediment	codon_distance	0.01387377715175004
Sediment	Bathypelagic-Sediment	codon_distance	0.014596524241880808
Sediment	Bathypelagic-Sediment	codon_distance	0.0058599423986919
Sediment	Bathypelagic-Sediment	codon_distance	0.019353800987095115
Sediment	Bathypelagic-Sediment	codon_distance	0.02725685444489123
Sediment	Bathypelagic-Sediment	codon_distance	0.0026943889344993254
Sediment	Bathypelagic-Sediment	codon_distance	0.01616635058072094
Sediment	Bathypelagic-Sediment	codon_distance	0.007325330071998902
Sediment	Bathypelagic-Sediment	codon_distance	0.01082842741108841
Sediment	Bathypelagic-Sediment	codon_distance	0.03341768097274317
Sediment	Bathypelagic-Sediment	codon_distance	0.02411815688454452
Sediment	Bathypelagic-Sediment	codon_distance	0.01195907323655638
Sediment	Bathypelagic-Sediment	codon_distance	0.004187830581058686
Sediment	Bathypelagic-Sediment	codon_distance	0.021612886543584228
Sediment	Bathypelagic-Sediment	codon_distance	0.015767624418808496
Sediment	Bathypelagic-Sediment	codon_distance	0.008251010383074908
Sediment	Bathypelagic-Sediment	codon_distance	0.013316200264507637
Sediment	Bathypelagic-Sediment	codon_distance	0.015710675350912553
Sediment	Bathypelagic-Sediment	codon_distance	0.007653536564355461
Sediment	Bathypelagic-Sediment	codon_distance	0.021356641620543456
Sediment	Bathypelagic-Sediment	codon_distance	0.04281345110963957
Sediment	Bathypelagic-Sediment	codon_distance	0.0037884113943356295
Sediment	Bathypelagic-Sediment	codon_distance	0.012008711637747901
Sediment	Bathypelagic-Sediment	codon_distance	0.010952492353962498
Sediment	Bathypelagic-Sediment	codon_distance	0.010833946467124371
Sediment	Bathypelagic-Sediment	codon_distance	0.019304076126081603
Sediment	Bathypelagic-Sediment	codon_distance	0.02507058420541743
Sediment	Bathypelagic-Sediment	codon_distance	0.013018803281650719
Sediment	Bathypelagic-Sediment	codon_distance	0.012589802188971287
Sediment	Bathypelagic-Sediment	codon_distance	0.014025856184546453
Sediment	Bathypelagic-Sediment	codon_distance	0.010441150594960862
Sediment	Bathypelagic-Sediment	codon_distance	0.06253079185540296
Sediment	Bathypelagic-Sediment	codon_distance	0.024035532485692755
Sediment	Bathypelagic-Sediment	codon_distance	0.011686655497404386
Sediment	Bathypelagic-Sediment	codon_distance	0.008127318598005409
Sediment	Bathypelagic-Sediment	codon_distance	0.010520224365223329
Sediment	Bathypelagic-Sediment	codon_distance	0.012296920240046935
Sediment	Bathypelagic-Sediment	codon_distance	0.008179442363428355
Sediment	Bathypelagic-Sediment	codon_distance	0.008383991498582299
Sediment	Bathypelagic-Sediment	codon_distance	0.012153593159438243
Sediment	Bathypelagic-Sediment	codon_distance	0.005019984474715901
Sediment	Bathypelagic-Sediment	codon_distance	0.005216738352516024
Sediment	Bathypelagic-Sediment	codon_distance	0.02528893759671203
Sediment	Bathypelagic-Sediment	codon_distance	0.03047487812020797
Sediment	Bathypelagic-Sediment	codon_distance	0.011311350647711221
Sediment	Bathypelagic-Sediment	codon_distance	0.01581162967302998
Sediment	Bathypelagic-Sediment	codon_distance	0.027070542173978085
Sediment	Bathypelagic-Sediment	codon_distance	0.01347925435965169
Sediment	Bathypelagic-Sediment	codon_distance	0.024851654067803406
Sediment	Bathypelagic-Sediment	codon_distance	0.013352040141811346
Sediment	Bathypelagic-Sediment	codon_distance	0.012999785159922481
Sediment	Bathypelagic-Sediment	codon_distance	0.022637483378704026
Sediment	Bathypelagic-Sediment	codon_distance	0.034406329568932116
Sediment	Bathypelagic-Sediment	codon_distance	0.006755273796891274
Sediment	Bathypelagic-Sediment	codon_distance	0.0040804972188045645
Sediment	Bathypelagic-Sediment	codon_distance	0.013493745275121427
Sediment	Bathypelagic-Sediment	codon_distance	0.017058813742112038
Sediment	Bathypelagic-Sediment	codon_distance	0.011139730527690532
Sediment	Bathypelagic-Sediment	codon_distance	0.01341598106346648
Sediment	Bathypelagic-Sediment	codon_distance	0.005508701274503034
Sediment	Bathypelagic-Sediment	codon_distance	0.00709804222415521
Sediment	Bathypelagic-Sediment	codon_distance	0.028975397949153377
Sediment	Bathypelagic-Sediment	codon_distance	0.01646858066263508
Sediment	Bathypelagic-Sediment	codon_distance	0.013717527760266808
Sediment	Bathypelagic-Sediment	codon_distance	0.051601389298523766
Sediment	Bathypelagic-Sediment	codon_distance	0.011191080954729583
Sediment	Bathypelagic-Sediment	codon_distance	0.007078347498380329
Sediment	Bathypelagic-Sediment	codon_distance	0.013094688318949702
Sediment	Bathypelagic-Sediment	codon_distance	0.009405615823175388
Sediment	Bathypelagic-Sediment	codon_distance	0.013613177756055243
Sediment	Bathypelagic-Sediment	codon_distance	0.010649977543235597
Sediment	Bathypelagic-Sediment	codon_distance	0.008607027057822679
Sediment	Bathypelagic-Sediment	codon_distance	0.007215340924807967
Sediment	Bathypelagic-Sediment	codon_distance	0.010617564033388361
Sediment	Bathypelagic-Sediment	codon_distance	0.013704706184896637
Sediment	Bathypelagic-Sediment	codon_distance	0.003667993745351749
Sediment	Bathypelagic-Sediment	codon_distance	0.011020031264384068
Sediment	Bathypelagic-Sediment	codon_distance	0.010104618405681554
Sediment	Bathypelagic-Sediment	codon_distance	0.01109372471918524
Sediment	Bathypelagic-Sediment	codon_distance	0.005430420191157243
Sediment	Bathypelagic-Sediment	codon_distance	0.014503253946970796
Sediment	Bathypelagic-Sediment	codon_distance	0.014536425164897379
Sediment	Bathypelagic-Sediment	codon_distance	0.01366486048870615
Sediment	Bathypelagic-Sediment	codon_distance	0.025074749085472407
Sediment	Bathypelagic-Sediment	codon_distance	0.010200365602903482
Sediment	Bathypelagic-Sediment	codon_distance	0.013246586245194899
Sediment	Bathypelagic-Sediment	codon_distance	0.019185389130948582
Sediment	Bathypelagic-Sediment	codon_distance	0.008141842807450997
Sediment	Bathypelagic-Sediment	codon_distance	0.004804559589914626
Sediment	Bathypelagic-Sediment	codon_distance	0.013369303945856913
Sediment	Bathypelagic-Sediment	codon_distance	0.008319576116928105
Sediment	Bathypelagic-Sediment	codon_distance	0.0077789865277741
Sediment	Bathypelagic-Sediment	codon_distance	0.014956426077034205
Sediment	Bathypelagic-Sediment	codon_distance	0.019526450547828297
Sediment	Bathypelagic-Sediment	codon_distance	0.016694311739174097
Sediment	Bathypelagic-Sediment	codon_distance	0.014660399179185756
Sediment	Bathypelagic-Sediment	codon_distance	0.023845031329588755
Sediment	Bathypelagic-Sediment	codon_distance	0.005404794106949708
Sediment	Bathypelagic-Sediment	codon_distance	0.014602822886781702
Sediment	Bathypelagic-Sediment	codon_distance	0.008468201613740995
Sediment	Bathypelagic-Sediment	codon_distance	0.008976388677346648
Sediment	Bathypelagic-Sediment	codon_distance	0.01216599392796901
Sediment	Bathypelagic-Sediment	codon_distance	0.02878598656700413
Sediment	Bathypelagic-Sediment	codon_distance	0.01766652097970113
Sediment	Bathypelagic-Sediment	codon_distance	0.017484440839684486
Sediment	Bathypelagic-Sediment	codon_distance	0.012979910472290144
Sediment	Bathypelagic-Sediment	codon_distance	0.012701920815126123
Sediment	Bathypelagic-Sediment	codon_distance	0.014387286260059157
Sediment	Bathypelagic-Sediment	codon_distance	0.030018538457474507
Sediment	Bathypelagic-Sediment	codon_distance	0.01134201188118719
Sediment	Bathypelagic-Sediment	codon_distance	0.009901522627206255
Sediment	Bathypelagic-Sediment	codon_distance	0.020763950611446348
Sediment	Bathypelagic-Sediment	codon_distance	0.013184706673224815
Sediment	Bathypelagic-Sediment	codon_distance	0.017999702259632558
Sediment	Bathypelagic-Sediment	codon_distance	0.014213627374203236
Sediment	Bathypelagic-Sediment	codon_distance	0.02305166899918212
Sediment	Bathypelagic-Sediment	codon_distance	0.026657118925069022
Sediment	Bathypelagic-Sediment	codon_distance	0.0030567514648447026
Sediment	Bathypelagic-Sediment	codon_distance	0.028065273232680647
Sediment	Bathypelagic-Sediment	codon_distance	0.0044679550033385656
Sediment	Bathypelagic-Sediment	codon_distance	0.03475783177862099
Sediment	Bathypelagic-Sediment	codon_distance	0.012297685200076557
Sediment	Bathypelagic-Sediment	codon_distance	0.008295205179346872
Sediment	Bathypelagic-Sediment	codon_distance	0.1346232701389298
Sediment	Bathypelagic-Sediment	codon_distance	0.014929422941962416
Sediment	Bathypelagic-Sediment	codon_distance	0.006415707657193941
Sediment	Bathypelagic-Sediment	codon_distance	0.009676709344887022
Sediment	Bathypelagic-Sediment	codon_distance	0.011229557555766148
Sediment	Bathypelagic-Sediment	codon_distance	0.011081609224291716
Sediment	Bathypelagic-Sediment	codon_distance	0.016231992399903087
Sediment	Bathypelagic-Sediment	codon_distance	0.018177971461968
Sediment	Bathypelagic-Sediment	codon_distance	0.019158841262993182
Sediment	Bathypelagic-Sediment	codon_distance	0.008701399944796604
Sediment	Bathypelagic-Sediment	codon_distance	0.007258249245702988
Sediment	Bathypelagic-Sediment	codon_distance	0.01401355855078757
Sediment	Bathypelagic-Sediment	codon_distance	0.01094402556294884
Sediment	Bathypelagic-Sediment	codon_distance	0.005306451195447105
Sediment	Bathypelagic-Sediment	codon_distance	0.008616504007620169
Sediment	Bathypelagic-Sediment	codon_distance	0.007057394773255721
Sediment	Bathypelagic-Sediment	codon_distance	0.025572090116335627
Sediment	Bathypelagic-Sediment	codon_distance	0.021864979749498647
Sediment	Bathypelagic-Sediment	codon_distance	0.008954377144659725
Sediment	Bathypelagic-Sediment	codon_distance	0.01725129550022421
Sediment	Bathypelagic-Sediment	codon_distance	0.010550888965672028
Sediment	Bathypelagic-Sediment	codon_distance	0.0036290708398571303
Sediment	Bathypelagic-Sediment	codon_distance	0.014721921264575888
Sediment	Bathypelagic-Sediment	codon_distance	0.011517160583606682
Sediment	Bathypelagic-Sediment	codon_distance	0.021803974661933546
Sediment	Bathypelagic-Sediment	codon_distance	0.005915497652110179
Sediment	Bathypelagic-Sediment	codon_distance	0.027301390520847388
