Sample_type	Host_group	sample	host_GC	host_protein_density	host_NARSC	host_CARSC	host_nucl	host_growth
Bathypelagic-Sediment	With_prophage	Sediment	0.4544632107030871	0.9831929324309132	0.3224	3.0308	4483352.0	1.43114541335009
Bathypelagic-Sediment	With_prophage	Sediment	0.60189101047036	0.9219013139845514	0.3679	2.8974	4815049.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.4120630054563549	0.8888024616510907	0.3289	2.9732	4371050.0	1.36282405065096
Bathypelagic-Sediment	With_prophage	Sediment	0.45601985613068347	0.932238118925439	0.3374	2.9568	3879910.0	3.36531734511816
Bathypelagic-Sediment	With_prophage	Sediment	0.3910827523630643	0.9302301938487894	0.3294	3.0149	3934510.0	2.49979036820737
Bathypelagic-Sediment	With_prophage	Sediment	0.37625214966095505	0.9547613319432935	0.3141	3.0534	4489080.0	2.02148761528953
Bathypelagic-Sediment	With_prophage	Sediment	0.4180730684832804	0.9945523422744791	0.33	3.0461	3663960.0	0.396105079445681
Bathypelagic-Sediment	With_prophage	Sediment	0.5827530758392957	0.9811016396296538	0.3356	2.8379	4319634.0	2.52309793499388
Bathypelagic-Sediment	With_prophage	Sediment	0.6593899650658656	0.931908402380305	0.3527	2.8244	3821191.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6223462901576436	0.9482071348613963	0.3497	2.8219	4153101.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6452454883920278	0.9267535216389747	0.365	2.807	4097098.0	4.19431141046971
Bathypelagic-Sediment	With_prophage	Sediment	0.32890966599533983	0.7545583762551774	0.3249	3.1082	6542900.0	0.942194609480783
Bathypelagic-Sediment	With_prophage	Sediment	0.43094159838592133	1.004490049725377	0.3223	3.009	3365887.0	1.15649742578502
Bathypelagic-Sediment	With_prophage	Sediment	0.7334846249238227	0.7998096799775474	0.382	2.6797	8419503.0	1.65079429846437
Bathypelagic-Sediment	With_prophage	Sediment	0.46645758165438833	0.9466360156391839	0.3308	3.011	3910690.0	0.182714439061065
