Host_group	Total	Superkindom	Phylum	Class	Merged_type	troph_type	count	genome_count	perc
With_prophage	-	-	-	total	total__With_prophage	copitroph	2049	4880	0.41987704918032787
With_prophage	-	-	-	total	total__With_prophage	others	2831	4880	0.5801229508196721
Without_prophage	-	-	-	total	total__Without_prophage	copitroph	1635	7200	0.22708333333333333
Without_prophage	-	-	-	total	total__Without_prophage	others	5565	7200	0.7729166666666667
With_prophage	-	-	total	Bacteria	Bacteria__With_prophage	copitroph	2025	4648	0.435671256454389
With_prophage	-	-	total	Bacteria	Bacteria__With_prophage	others	2623	4648	0.564328743545611
Without_prophage	-	-	total	Bacteria	Bacteria__Without_prophage	copitroph	1548	6500	0.23815384615384616
Without_prophage	-	-	total	Bacteria	Bacteria__Without_prophage	others	4952	6500	0.7618461538461538
With_prophage	total	Bacteria	Firmicutes	Bacilli	Bacilli__With_prophage	copitroph	133	139	0.9568345323741008
With_prophage	total	Bacteria	Firmicutes	Bacilli	Bacilli__With_prophage	others	6	139	0.04316546762589928
Without_prophage	total	Bacteria	Firmicutes	Bacilli	Bacilli__Without_prophage	copitroph	61	67	0.9104477611940298
Without_prophage	total	Bacteria	Firmicutes	Bacilli	Bacilli__Without_prophage	others	6	67	0.08955223880597014
With_prophage	total	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria__With_prophage	copitroph	706	1397	0.5053686471009305
With_prophage	total	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria__With_prophage	others	691	1397	0.49463135289906945
Without_prophage	total	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria__Without_prophage	copitroph	446	1603	0.27822832189644414
Without_prophage	total	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria__Without_prophage	others	1157	1603	0.7217716781035558
With_prophage	total	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria__With_prophage	copitroph	641	1168	0.5488013698630136
With_prophage	total	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria__With_prophage	others	527	1168	0.4511986301369863
Without_prophage	total	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria__Without_prophage	copitroph	192	1332	0.14414414414414414
Without_prophage	total	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria__Without_prophage	others	1140	1332	0.8558558558558559
With_prophage	total	Bacteria	Bacteroidota	Bacteroidia	Bacteroidia__With_prophage	copitroph	218	463	0.4708423326133909
With_prophage	total	Bacteria	Bacteroidota	Bacteroidia	Bacteroidia__With_prophage	others	245	463	0.5291576673866091
Without_prophage	total	Bacteria	Bacteroidota	Bacteroidia	Bacteroidia__Without_prophage	copitroph	404	809	0.49938195302843014
Without_prophage	total	Bacteria	Bacteroidota	Bacteroidia	Bacteroidia__Without_prophage	others	405	809	0.5006180469715699
With_prophage	-	-	total	Archaea	Archaea__With_prophage	copitroph	24	232	0.10344827586206896
With_prophage	-	-	total	Archaea	Archaea__With_prophage	others	208	232	0.896551724137931
Without_prophage	-	-	total	Archaea	Archaea__Without_prophage	copitroph	87	700	0.12428571428571429
Without_prophage	-	-	total	Archaea	Archaea__Without_prophage	others	613	700	0.8757142857142857
With_prophage	total	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaeria__With_prophage	copitroph	0	18	0.0
With_prophage	total	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaeria__With_prophage	others	18	18	1.0
Without_prophage	total	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaeria__Without_prophage	copitroph	0	119	0.0
Without_prophage	total	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaeria__Without_prophage	others	119	119	1.0
With_prophage	total	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniia__With_prophage	copitroph	14	36	0.3888888888888889
With_prophage	total	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniia__With_prophage	others	22	36	0.6111111111111112
Without_prophage	total	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniia__Without_prophage	copitroph	42	130	0.3230769230769231
Without_prophage	total	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniia__Without_prophage	others	88	130	0.676923076923077
With_prophage	total	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetia__With_prophage	copitroph	111	127	0.8740157480314961
With_prophage	total	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetia__With_prophage	others	16	127	0.12598425196850394
Without_prophage	total	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetia__Without_prophage	copitroph	151	183	0.825136612021858
Without_prophage	total	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetia__Without_prophage	others	32	183	0.17486338797814208
With_prophage	total	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriia__With_prophage	copitroph	29	98	0.29591836734693877
With_prophage	total	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriia__With_prophage	others	69	98	0.7040816326530612
Without_prophage	total	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriia__Without_prophage	copitroph	42	331	0.1268882175226586
Without_prophage	total	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriia__Without_prophage	others	289	331	0.8731117824773413
With_prophage	total	Archaea	Asgardarchaeota	Lokiarchaeia	Lokiarchaeia__With_prophage	copitroph	0	11	0.0
With_prophage	total	Archaea	Asgardarchaeota	Lokiarchaeia	Lokiarchaeia__With_prophage	others	11	11	1.0
Without_prophage	total	Archaea	Asgardarchaeota	Lokiarchaeia	Lokiarchaeia__Without_prophage	copitroph	0	18	0.0
Without_prophage	total	Archaea	Asgardarchaeota	Lokiarchaeia	Lokiarchaeia__Without_prophage	others	18	18	1.0
With_prophage	total	Archaea	Thermoproteota	Bathyarchaeia	Bathyarchaeia__With_prophage	copitroph	0	25	0.0
With_prophage	total	Archaea	Thermoproteota	Bathyarchaeia	Bathyarchaeia__With_prophage	others	25	25	1.0
Without_prophage	total	Archaea	Thermoproteota	Bathyarchaeia	Bathyarchaeia__Without_prophage	copitroph	0	27	0.0
Without_prophage	total	Archaea	Thermoproteota	Bathyarchaeia	Bathyarchaeia__Without_prophage	others	27	27	1.0
