Sample_type	sample	Host_group	Merged_type	Info_type	Info	Count	Percentage
Bathypelagic-Sediment	Sediment	With_prophage	Bathypelagic-Sediment_With_prophage	troph	copitroph	147	0.23902439024390243
Bathypelagic-Sediment	Sediment	With_prophage	Bathypelagic-Sediment_With_prophage	troph	others	468	0.7609756097560976
Bathypelagic-Sediment	Sediment	Without_prophage	Bathypelagic-Sediment_Without_prophage	troph	others	633	0.8791666666666667
Bathypelagic-Sediment	Sediment	Without_prophage	Bathypelagic-Sediment_Without_prophage	troph	copitroph	87	0.12083333333333333
Bathypelagic-Seawater	Seawater	Without_prophage	Bathypelagic-Seawater_Without_prophage	troph	others	307	0.5949612403100775
Bathypelagic-Seawater	Seawater	Without_prophage	Bathypelagic-Seawater_Without_prophage	troph	copitroph	209	0.4050387596899225
Bathypelagic-Seawater	Seawater	With_prophage	Bathypelagic-Seawater_With_prophage	troph	others	245	0.42387543252595156
Bathypelagic-Seawater	Seawater	With_prophage	Bathypelagic-Seawater_With_prophage	troph	copitroph	333	0.5761245674740484
Epipelagic-Seawater	Seawater	Without_prophage	Epipelagic-Seawater_Without_prophage	troph	others	3266	0.8032464338416134
Epipelagic-Seawater	Seawater	Without_prophage	Epipelagic-Seawater_Without_prophage	troph	copitroph	800	0.19675356615838663
Epipelagic-Seawater	Seawater	With_prophage	Epipelagic-Seawater_With_prophage	troph	copitroph	673	0.36556219445953286
Epipelagic-Seawater	Seawater	With_prophage	Epipelagic-Seawater_With_prophage	troph	others	1168	0.6344378055404671
Mesopelagic-Seawater	Seawater	Without_prophage	Mesopelagic-Seawater_Without_prophage	troph	copitroph	62	0.21908127208480566
Mesopelagic-Seawater	Seawater	Without_prophage	Mesopelagic-Seawater_Without_prophage	troph	others	221	0.7809187279151943
Mesopelagic-Seawater	Seawater	With_prophage	Mesopelagic-Seawater_With_prophage	troph	others	93	0.5254237288135594
Mesopelagic-Seawater	Seawater	With_prophage	Mesopelagic-Seawater_With_prophage	troph	copitroph	84	0.4745762711864407
Mesopelagic-Sediment	Sediment	With_prophage	Mesopelagic-Sediment_With_prophage	troph	others	32	0.5818181818181818
Mesopelagic-Sediment	Sediment	With_prophage	Mesopelagic-Sediment_With_prophage	troph	copitroph	23	0.41818181818181815
Mesopelagic-Sediment	Sediment	Without_prophage	Mesopelagic-Sediment_Without_prophage	troph	copitroph	22	0.3793103448275862
Mesopelagic-Sediment	Sediment	Without_prophage	Mesopelagic-Sediment_Without_prophage	troph	others	36	0.6206896551724138
Epipelagic-Sediment	Sediment	With_prophage	Epipelagic-Sediment_With_prophage	troph	copitroph	55	0.36666666666666664
Epipelagic-Sediment	Sediment	With_prophage	Epipelagic-Sediment_With_prophage	troph	others	95	0.6333333333333333
Epipelagic-Sediment	Sediment	Without_prophage	Epipelagic-Sediment_Without_prophage	troph	others	125	0.7530120481927711
Epipelagic-Sediment	Sediment	Without_prophage	Epipelagic-Sediment_Without_prophage	troph	copitroph	41	0.2469879518072289
